,Unnamed: 0,id,px,py
0,0,0,1907.960133,2180.469352
1,1,0,1907.960133,2180.469352
2,2,0,1907.960133,2180.469352
3,3,0,1907.960133,2180.469352
4,4,0,1907.960133,2180.469352
5,5,0,1907.960133,2180.469352
6,6,0,1907.960133,2180.469352
7,7,0,1907.960133,2180.469352
8,8,0,1907.960133,2180.469352
9,9,0,1907.960133,2180.469352
121,121,1,248.4980062,698.2712109
122,122,1,259.7241077,688.3959272
123,123,1,259.7241077,688.3959272
124,124,1,274.729289,699.6560805
125,125,1,274.729289,699.6560805
126,126,1,281.5371927,970.1811918
127,127,1,281.5371927,970.1811918
128,128,1,434.623999,1069.152952
129,129,1,434.623999,1069.152952
130,130,1,484.4961565,1070.270337
242,242,2,1910.713364,2170.50349
243,243,2,1872.591875,2197.393215
244,244,2,1872.591875,2197.393215
245,245,2,1838.106615,2208.17867
246,246,2,1838.106615,2208.17867
247,247,2,1843.104048,2231.778522
248,248,2,1843.104048,2231.778522
249,249,2,1850.32874,2244.562945
250,250,2,1850.32874,2244.562945
251,251,2,1884.56275,2157.683756
363,363,3,208.9287876,765.1332055
364,364,3,231.0697633,812.3171215
365,365,3,231.0697633,812.3171215
366,366,3,242.0096551,838.2465246
367,367,3,242.0096551,838.2465246
368,368,3,253.7011929,838.3597742
369,369,3,253.7011929,838.3597742
370,370,3,252.2812083,833.1192995
371,371,3,252.2812083,833.1192995
372,372,3,281.5588041,881.9051373
484,484,4,2597.514819,206.5600745
485,485,4,2578.665684,197.9597161
486,486,4,2578.665684,197.9597161
487,487,4,2560.610663,171.9070049
488,488,4,2560.610663,171.9070049
489,489,4,2556.906143,170.2154572
490,490,4,2556.906143,170.2154572
491,491,4,2544.949029,157.4654021
492,492,4,2544.949029,157.4654021
493,493,4,2547.283168,152.7507752
605,605,5,1875.504148,2187.264245
606,606,5,1877.438181,2191.449942
607,607,5,1877.438181,2191.449942
608,608,5,1878.505176,2197.338875
609,609,5,1878.505176,2197.338875
610,610,5,1875.763332,2201.09571
611,611,5,1875.763332,2201.09571
612,612,5,1880.209506,2201.820496
613,613,5,1880.209506,2201.820496
614,614,5,1883.840232,2205.248162
726,726,6,2151.932999,1895.807615
727,727,6,2154.647118,1895.333551
728,728,6,2154.647118,1895.333551
729,729,6,2157.361238,1894.859487
730,730,6,2157.361238,1894.859487
731,731,6,2160.04209,1895.252204
732,732,6,2160.04209,1895.252204
733,733,6,2162.506701,1901.278997
734,734,6,2162.506701,1901.278997
735,735,6,2163.408868,1903.423085
847,847,7,1965.201798,2294.896225
848,848,7,1965.201798,2294.896225
849,849,7,1965.201798,2294.896225
850,850,7,1965.201798,2294.896225
851,851,7,1965.201798,2294.896225
852,852,7,1965.201798,2294.896225
853,853,7,1965.201798,2294.896225
854,854,7,1965.201798,2294.896225
855,855,7,1965.201798,2294.896225
856,856,7,1965.201798,2294.896225
968,968,8,2218.066935,700.1737866
969,969,8,2215.299513,697.9855931
970,970,8,2215.299513,697.9855931
971,971,8,2221.007692,692.365389
972,972,8,2221.007692,692.365389
973,973,8,2221.104161,694.592472
974,974,8,2221.104161,694.592472
975,975,8,2219.075913,700.0603174
976,976,8,2219.075913,700.0603174
977,977,8,2225.129779,695.5743511
1089,1089,9,737.3334485,1704.190916
1090,1090,9,489.840596,1212.540829
1091,1091,9,489.840596,1212.540829
1092,1092,9,406.1857844,1078.995013
1093,1093,9,406.1857844,1078.995013
1094,1094,9,277.4191021,867.0569777
1095,1095,9,277.4191021,867.0569777
1096,1096,9,251.7415512,845.7991829
1097,1097,9,251.7415512,845.7991829
1098,1098,9,242.7043436,835.9928804
1210,1210,10,2226.180844,701.9857636
1211,1211,10,2230.729426,696.187435
1212,1212,10,2230.729426,696.187435
1213,1213,10,2229.626485,698.6879637
1214,1214,10,2229.626485,698.6879637
1215,1215,10,2237.244512,709.247615
1216,1216,10,2237.244512,709.247615
1217,1217,10,2227.660897,695.2242252
1218,1218,10,2227.660897,695.2242252
1219,1219,10,2208.174644,692.5634786
1331,1331,11,1813.260447,2215.078121
1332,1332,11,1843.064371,2195.521749
1333,1333,11,1843.064371,2195.521749
1334,1334,11,1876.371056,2176.102518
1335,1335,11,1876.371056,2176.102518
1336,1336,11,1914.714237,2184.999305
1337,1337,11,1914.714237,2184.999305
1338,1338,11,1936.814641,2182.118243
1339,1339,11,1936.814641,2182.118243
1340,1340,11,1953.308911,2205.029207
1452,1452,12,1764.799243,2238.814971
1453,1453,12,1790.474793,2220.493596
1454,1454,12,1790.474793,2220.493596
1455,1455,12,1779.989679,2232.843063
1456,1456,12,1779.989679,2232.843063
1457,1457,12,1770.75005,2241.463253
1458,1458,12,1770.75005,2241.463253
1459,1459,12,1803.620779,2221.074146
1460,1460,12,1803.620779,2221.074146
1461,1461,12,1843.10726,2203.859834
1573,1573,13,215.7089086,798.7454017
1574,1574,13,232.1219816,824.1432951
1575,1575,13,232.1219816,824.1432951
1576,1576,13,243.2739822,835.9815514
1577,1577,13,243.2739822,835.9815514
1578,1578,13,243.2848771,832.8656618
1579,1579,13,243.2848771,832.8656618
1580,1580,13,243.7425525,831.3734457
1581,1581,13,243.7425525,831.3734457
1582,1582,13,243.7556296,836.3892488
1694,1694,14,2367.144238,406.2498512
1695,1695,14,2207.143425,795.8311366
1696,1696,14,2207.143425,795.8311366
1697,1697,14,1869.390953,1304.01553
1698,1698,14,1869.390953,1304.01553
1699,1699,14,1572.532926,1645.57342
1700,1700,14,1572.532926,1645.57342
1701,1701,14,1755.818406,1952.087653
1702,1702,14,1755.818406,1952.087653
1703,1703,14,1884.840578,2151.658916
1815,1815,15,142.683695,760.3314641
1816,1816,15,155.5006202,765.5975251
1817,1817,15,155.5006202,765.5975251
1818,1818,15,168.3175455,770.8635862
1819,1819,15,168.3175455,770.8635862
1820,1820,15,169.6447863,771.7879524
1821,1821,15,169.6447863,771.7879524
1822,1822,15,169.300525,771.8573448
1823,1823,15,169.300525,771.8573448
1824,1824,15,169.7824239,770.4312725
1936,1936,16,1904.402493,2141.874232
1937,1937,16,1878.616193,2103.913318
1938,1938,16,1878.616193,2103.913318
1939,1939,16,1854.607969,2068.398535
1940,1940,16,1854.607969,2068.398535
1941,1941,16,1838.380221,2029.6222
1942,1942,16,1838.380221,2029.6222
