id,px,py
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1907.960133,2180.469352
0,1928.699322,2191.460793
0,1928.699322,2191.460793
0,1964.201579,2210.276424
0,1964.201579,2210.276424
0,1965.757686,2212.631907
0,1965.757686,2212.631907
0,1963.690359,2214.751998
0,1963.690359,2214.751998
0,1952.908883,2196.14298
0,1952.908883,2196.14298
0,1927.094385,2177.977881
0,1927.094385,2177.977881
0,1883.606826,2189.728576
0,1883.606826,2189.728576
0,1845.960653,2195.218849
0,1845.960653,2195.218849
0,1817.172921,2214.851636
0,1817.172921,2214.851636
0,1784.639446,2236.28731
0,1784.639446,2236.28731
0,1781.227145,2231.141344
0,1781.227145,2231.141344
0,1773.969112,2212.387356
0,1773.969112,2212.387356
0,1765.888535,2220.088262
0,1765.888535,2220.088262
0,1801.667564,2186.367362
0,1801.667564,2186.367362
0,1648.948158,2331.787864
0,1648.948158,2331.787864
0,1643.64634,2464.950001
0,1643.64634,2464.950001
0,1467.285474,2499.767176
0,1467.285474,2499.767176
0,1386.090769,1990.356632
0,1386.090769,1990.356632
0,1173.461801,1991.289809
0,1173.461801,1991.289809
0,908.7481902,2305.895698
0,908.7481902,2305.895698
0,757.2625525,2535.136975
0,757.2625525,2535.136975
0,836.4565613,2788.732373
0,836.4565613,2788.732373
0,705.3001696,2890.012898
0,705.3001696,2890.012898
0,633.4753698,2771.962516
0,633.4753698,2771.962516
